"Time","Source","Destination","Protocol","Length","Type","Source_Port","Desc_Port","Time_shift","Stream_index","InterfaceId","Time_from_previous","Flags","FlagsTCP","Attack"
"0.000000","10.1.1.13","93.184.220.29","TCP","60","IPv4","47582","80","0.000000000","11x0","0","0.000000000","0x4000","0x014","0"
"0.000226","10.1.1.13","93.184.220.29","TCP","60","IPv4","47580","80","0.000000000","11x0","0","0.000226000","0x4000","0x014","0"
"0.223881","10.1.1.13","35.165.148.158","TCP","60","IPv4","34198","443","0.000000000","11x0","0","0.223655000","0x4000","0x010","0"
"0.471185","10.1.1.13","224.0.0.251","MDNS","183","IPv4","11x0","11x0","0.000000000","1","0","0.000254000","0x4000","11x0","0"
"0.479976","10.1.1.13","172.217.22.3","TCP","60","IPv4","39342","80","0.000000000","11x0","0","0.008791000","0x4000","0x010","0"
"0.480144","10.1.1.13","172.217.22.3","TCP","60","IPv4","39344","80","0.000000000","11x0","0","0.000168000","0x4000","0x010","0"
"0.480695","10.1.1.13","172.217.22.3","TCP","60","IPv4","39346","80","0.000000000","11x0","0","0.000551000","0x4000","0x010","0"
"0.480825","10.1.1.13","35.165.148.158","TCP","60","IPv4","34196","443","0.000000000","11x0","0","0.000130000","0x4000","0x010","0"
"0.616215","10.1.1.13","8.8.8.8","DNS","104","IPv4","11x0","11x0","0.000000000","2","0","0.135390000","0x4000","11x0","0"
"0.616408","10.1.1.13","8.8.8.8","DNS","90","IPv4","11x0","11x0","0.000000000","3","0","0.000193000","0x4000","11x0","0"
"0.735892","10.1.1.13","35.165.148.158","TCP","60","IPv4","34190","443","0.000000000","11x0","0","0.119484000","0x4000","0x010","0"
"1.324392","10.1.1.13","8.8.8.8","DNS","95","IPv4","11x0","11x0","0.000000000","4","0","0.588500000","0x4000","11x0","0"
"1.324929","10.1.1.13","8.8.8.8","DNS","90","IPv4","11x0","11x0","0.000000000","5","0","0.000537000","0x4000","11x0","0"
"1.325076","10.1.1.13","8.8.8.8","DNS","95","IPv4","11x0","11x0","0.000000000","6","0","0.000147000","0x4000","11x0","0"
"1.868965","10.1.1.13","8.8.8.8","DNS","104","IPv4","11x0","11x0","0.000000000","7","0","0.543889000","0x4000","11x0","0"
"2.271928","10.1.1.13","93.184.220.29","TCP","60","IPv4","47690","80","0.000000000","11x0","0","0.402963000","0x4000","0x010","0"
"2.272673","10.1.1.13","13.32.158.39","TCP","60","IPv4","37576","443","0.000000000","11x0","0","0.000745000","0x4000","0x010","0"
"2.755236","10.1.1.13","172.217.16.202","TLSv1.2","89","IPv4","40378","443","0.000000000","11x0","0","0.482563000","0x4000","0x018","0"
"2.783857","10.1.1.13","35.165.148.158","TCP","60","IPv4","34192","443","0.000000000","11x0","0","0.028621000","0x4000","0x010","0"
"2.784932","10.1.1.13","35.165.148.158","TCP","60","IPv4","34188","443","0.000000000","11x0","0","0.001075000","0x4000","0x010","0"
"3.296568","10.1.1.13","216.58.207.67","TLSv1.2","93","IPv4","52976","443","0.000000000","11x0","0","0.511636000","0x4000","0x018","0"
"3.296675","10.1.1.13","13.32.158.116","TCP","60","IPv4","40410","443","0.000000000","11x0","0","0.000107000","0x4000","0x010","0"
"3.552608","10.1.1.13","172.217.22.3","TCP","60","IPv4","39346","80","0.000000000","11x0","0","0.255933000","0x4000","0x010","0"
"3.552746","10.1.1.13","172.217.22.3","TCP","60","IPv4","39344","80","0.000000000","11x0","0","0.000138000","0x4000","0x010","0"
"3.776062","10.1.1.13","172.217.18.163","TCP","60","IPv4","45342","80","0.000000000","11x0","0","0.223316000","0x4000","0x010","0"
"4.118863","10.1.1.13","8.8.8.8","DNS","99","IPv4","11x0","11x0","0.000000000","8","0","0.342801000","0x4000","11x0","0"
"4.576068","10.1.1.13","172.217.22.3","TCP","60","IPv4","39342","80","0.000000000","11x0","0","0.457205000","0x4000","0x010","0"
"4.576231","10.1.1.13","172.217.18.163","TCP","60","IPv4","45340","80","0.000000000","11x0","0","0.000163000","0x4000","0x010","0"
"4.800156","10.1.1.13","172.217.18.163","TCP","60","IPv4","45342","80","0.000000000","11x0","0","0.223925000","0x4000","0x010","0"
"4.800941","10.1.1.13","2.18.212.59","TCP","60","IPv4","60186","80","0.000000000","11x0","0","0.000785000","0x4000","0x010","0"
"4.831958","10.1.1.13","216.58.207.35","TCP","60","IPv4","41260","80","0.000000000","11x0","0","0.031017000","0x4000","0x010","0"
"4.833054","10.1.1.13","13.32.159.180","TCP","60","IPv4","51544","443","0.000000000","11x0","0","0.001096000","0x4000","0x010","0"
"5.087951","10.1.1.13","172.217.16.202","TCP","89","IPv4","40378","443","0.000000000","11x0","0","0.254897000","0x4000","0x018","0"
"5.312055","10.1.1.13","13.32.158.116","TCP","60","IPv4","40410","443","0.000000000","11x0","0","0.224104000","0x4000","0x010","0"
"5.344130","10.1.1.13","93.184.220.29","TCP","60","IPv4","47690","80","0.000000000","11x0","0","0.032075000","0x4000","0x010","0"
"5.601107","10.1.1.13","172.217.18.163","TCP","60","IPv4","45340","80","0.000000000","11x0","0","0.256977000","0x4000","0x010","0"
"5.618979","10.1.1.13","8.8.8.8","DNS","104","IPv4","11x0","11x0","0.000000000","2","0","0.017872000","0x4000","11x0","0"
"5.619206","10.1.1.13","8.8.8.8","DNS","90","IPv4","11x0","11x0","0.000000000","3","0","0.000227000","0x4000","11x0","0"
"5.621646","10.1.1.13","216.58.207.67","TLSv1.2","117","IPv4","52976","443","0.000000000","11x0","0","0.002440000","0x4000","0x019","0"
"5.824212","10.1.1.13","2.18.212.59","TCP","60","IPv4","60186","80","0.000000000","11x0","0","0.202566000","0x4000","0x010","0"
"5.824375","10.1.1.13","172.217.18.163","TCP","60","IPv4","45342","80","0.000000000","11x0","0","0.000163000","0x4000","0x010","0"
"5.856129","10.1.1.13","13.32.159.180","TCP","60","IPv4","51544","443","0.000000000","11x0","0","0.031754000","0x4000","0x010","0"
"5.856349","10.1.1.13","216.58.207.35","TCP","60","IPv4","41260","80","0.000000000","11x0","0","0.000220000","0x4000","0x010","0"
"6.369421","10.1.1.13","8.8.8.8","DNS","95","IPv4","11x0","11x0","0.000000000","4","0","0.513072000","0x4000","11x0","0"
"6.369533","10.1.1.13","8.8.8.8","DNS","95","IPv4","11x0","11x0","0.000000000","6","0","0.000112000","0x4000","11x0","0"
"6.370801","10.1.1.13","8.8.8.8","DNS","90","IPv4","11x0","11x0","0.000000000","5","0","0.001268000","0x4000","11x0","0"
"6.624462","10.1.1.13","172.217.22.3","TCP","60","IPv4","39344","80","0.000000000","11x0","0","0.253661000","0x4000","0x010","0"
"6.624697","10.1.1.13","172.217.22.3","TCP","60","IPv4","39346","80","0.000000000","11x0","0","0.000235000","0x4000","0x010","0"
"6.625975","10.1.1.13","172.217.18.163","TCP","60","IPv4","45340","80","0.000000000","11x0","0","0.001278000","0x4000","0x010","0"
"6.847789","10.1.1.13","172.217.18.163","TCP","60","IPv4","45342","80","0.000000000","11x0","0","0.221814000","0x4000","0x010","0"
"6.848169","10.1.1.13","2.18.212.59","TCP","60","IPv4","60186","80","0.000000000","11x0","0","0.000380000","0x4000","0x010","0"
"6.880011","10.1.1.13","35.165.148.158","TCP","60","IPv4","34194","443","0.000000000","11x0","0","0.031842000","0x4000","0x010","0"
"6.880149","10.1.1.13","216.58.207.35","TCP","60","IPv4","41260","80","0.000000000","11x0","0","0.000138000","0x4000","0x010","0"
"6.880247","10.1.1.13","13.32.159.180","TCP","60","IPv4","51544","443","0.000000000","11x0","0","0.000098000","0x4000","0x010","0"
"7.119488","10.1.1.13","8.8.8.8","DNS","104","IPv4","11x0","11x0","0.000000000","7","0","0.239241000","0x4000","11x0","0"
"7.328649","10.1.1.13","13.32.158.116","TCP","60","IPv4","40410","443","0.000000000","11x0","0","0.209161000","0x4000","0x010","0"
"7.647862","10.1.1.13","172.217.18.163","TCP","60","IPv4","45340","80","0.000000000","11x0","0","0.319213000","0x4000","0x010","0"
"7.872046","10.1.1.13","2.18.212.59","TCP","60","IPv4","60186","80","0.000000000","11x0","0","0.224184000","0x4000","0x010","0"
"7.872427","10.1.1.13","172.217.18.163","TCP","60","IPv4","45342","80","0.000000000","11x0","0","0.000381000","0x4000","0x014","0"
"7.904024","10.1.1.13","13.32.159.180","TCP","60","IPv4","51544","443","0.000000000","11x0","0","0.031597000","0x4000","0x010","0"
"7.904692","10.1.1.13","216.58.207.35","TCP","60","IPv4","41260","80","0.000000000","11x0","0","0.000668000","0x4000","0x010","0"
"8.415827","10.1.1.13","93.184.220.29","TCP","60","IPv4","47690","80","0.000000000","11x0","0","0.511135000","0x4000","0x014","0"
"8.672939","10.1.1.13","172.217.22.3","TCP","60","IPv4","39342","80","0.000000000","11x0","0","0.257112000","0x4000","0x010","0"
"8.673100","10.1.1.13","172.217.18.163","TCP","60","IPv4","45340","80","0.000000000","11x0","0","0.000161000","0x4000","0x014","0"
"8.896996","10.1.1.13","2.18.212.59","TCP","60","IPv4","60186","80","0.000000000","11x0","0","0.223896000","0x4000","0x014","0"
"8.928064","10.1.1.13","216.58.207.35","TCP","60","IPv4","41260","80","0.000000000","11x0","0","0.031068000","0x4000","0x014","0"
"8.928245","10.1.1.13","13.32.159.180","TCP","60","IPv4","51544","443","0.000000000","11x0","0","0.000181000","0x4000","0x014","0"
"9.343989","10.1.1.13","13.32.158.116","TCP","60","IPv4","40410","443","0.000000000","11x0","0","0.415744000","0x4000","0x010","0"
"9.370157","10.1.1.13","8.8.8.8","DNS","99","IPv4","11x0","11x0","0.000000000","8","0","0.026168000","0x4000","11x0","0"
"9.439854","10.1.1.13","172.217.16.202","TCP","89","IPv4","40378","443","0.000000000","11x0","0","0.069697000","0x4000","0x018","0"
"9.695993","10.1.1.13","172.217.22.3","TCP","60","IPv4","39346","80","0.000000000","11x0","0","0.256139000","0x4000","0x010","0"
"9.696147","10.1.1.13","172.217.22.3","TCP","60","IPv4","39344","80","0.000000000","11x0","0","0.000154000","0x4000","0x010","0"
"10.626017","10.1.1.13","8.8.8.8","DNS","90","IPv4","11x0","11x0","0.000000000","3","0","0.929870000","0x4000","11x0","0"
"10.626374","10.1.1.13","8.8.8.8","DNS","104","IPv4","11x0","11x0","0.000000000","2","0","0.000357000","0x4000","11x0","0"
"11.359855","10.1.1.13","13.32.158.116","TCP","60","IPv4","40410","443","0.000000000","11x0","0","0.733481000","0x4000","0x014","0"
"11.619092","10.1.1.13","8.8.8.8","DNS","95","IPv4","11x0","11x0","0.000000000","4","0","0.259237000","0x4000","11x0","0"
"11.619307","10.1.1.13","8.8.8.8","DNS","90","IPv4","11x0","11x0","0.000000000","5","0","0.000215000","0x4000","11x0","0"
"11.619530","10.1.1.13","8.8.8.8","DNS","95","IPv4","11x0","11x0","0.000000000","6","0","0.000223000","0x4000","11x0","0"
"11.626871","10.1.1.13","172.217.22.3","TLSv1.2","93","IPv4","39300","443","0.000000000","11x0","0","0.007341000","0x4000","0x018","0"
"12.368834","10.1.1.13","8.8.8.8","DNS","104","IPv4","11x0","11x0","0.000000000","7","0","0.741963000","0x4000","11x0","0"
"12.627566","10.1.1.13","172.217.22.78","TLSv1.2","93","IPv4","49160","443","0.000000000","11x0","0","0.258732000","0x4000","0x018","0"
"12.768212","10.1.1.13","172.217.22.3","TCP","60","IPv4","39344","80","0.000000000","11x0","0","0.140646000","0x4000","0x014","0"
"12.768341","10.1.1.13","172.217.22.3","TCP","60","IPv4","39346","80","0.000000000","11x0","0","0.000129000","0x4000","0x014","0"
"12.769404","10.1.1.13","172.217.22.3","TCP","60","IPv4","39342","80","0.000000000","11x0","0","0.001063000","0x4000","0x010","0"
"14.304014","10.1.1.13","216.58.207.67","TCP","156","IPv4","52976","443","0.000000000","11x0","0","1.534610000","0x4000","0x019","0"
"14.304172","10.1.1.13","13.32.158.39","TCP","60","IPv4","37576","443","0.000000000","11x0","0","0.000158000","0x4000","0x010","0"
"14.618854","10.1.1.13","8.8.8.8","DNS","99","IPv4","11x0","11x0","0.000000000","8","0","0.314682000","0x4000","11x0","0"
"15.632972","10.1.1.13","8.8.8.8","DNS","104","IPv4","11x0","11x0","0.000000000","2","0","1.014118000","0x4000","11x0","0"
"15.633171","10.1.1.13","8.8.8.8","DNS","90","IPv4","11x0","11x0","0.000000000","3","0","0.000199000","0x4000","11x0","0"
"15.888324","10.1.1.13","8.8.8.8","DNS","85","IPv4","11x0","11x0","0.000000000","9","0","0.255153000","0x4000","11x0","0"
"15.890297","10.1.1.13","172.217.21.196","TLSv1.2","264","IPv4","50016","443","0.000000000","11x0","0","0.001973000","0x4000","0x018","0"
"15.917424","10.1.1.13","172.217.21.196","TLSv1.2","403","IPv4","50016","443","0.000000000","11x0","0","0.027127000","0x4000","0x018","0"
